column_name,mean,median,max,min
numero_de_cliente,17328982,17346765,39947297,4566141
foto_mes,201405,201405,201405,201405
marketing_activo_ultimos90dias,0,0,0,0
cliente_vip,0,0,1,0
cliente_sucursal,373,329,1019,3
cliente_edad,42,44,109,0
cliente_antiguedad,121,108,517,1
mrentabilidad,0,0,0,0
mrentabilidad_annual,8311,6507,916512,-73893
mcomisiones,0,0,0,0
mactivos_margen,0,0,0,0
mpasivos_margen,0,0,0,0
marketing_coss_selling,8,9,20,1
tpaquete1,1,1,1,1
tpaquete2,0,0,1,0
tpaquete3,0,0,0,0
tpaquete4,0,0,1,0
tpaquete5,0,0,0,0
tpaquete6,0,0,1,0
tpaquete7,0,0,1,0
tpaquete8,0,0,0,0
tpaquete9,0,0,1,0
tcuentas,0,1,1,0
tcuenta_corriente,0,1,1,0
mcuenta_corriente_Nopaquete,58,0,1038596,-59042
mcuenta_corriente_Paquete,865,0,2976926,-5208846
mcuenta_corriente_dolares,0,0,0,0
tcaja_ahorro,0,1,1,0
mcaja_ahorro_Paquete,16498,3775,9288922,-1787
mcaja_ahorro_Nopaquete,378,0,1515651,-2799
mcaja_ahorro_dolares,4087,0,6992705,-18662
mdescubierto_preacordado,1,1,1,0
mcuentas_saldo,25070,4015,12813401,0
ttarjeta_debito,0,1,1,0
ctarjeta_debito_transacciones,4,2,177,0
mautoservicio,2103,506,571681,0
ttarjeta_visa,0,1,1,0
ctarjeta_visa_transacciones,13,9,245,0
mtarjeta_visa_consumo,5368,3395,504722,0
ttarjeta_master,0,1,1,0
ctarjeta_master_transacciones,3,0,187,0
mtarjeta_master_consumo,1662,0,161971,0
cprestamos_personales,0,0,70,0
mprestamos_personales,13318,0,487644,0
cprestamos_prendarios,0,0,2,0
mprestamos_prendarios,1992,0,437695,0
cprestamos_hipotecarios,0,0,5,0
mprestamos_hipotecarios,4771,0,1316377,0
tplazo_fijo,0,0,1,0
mplazo_fijo_dolares,18855,0,24870648,0
mplazo_fijo_pesos,2143,0,9283921,0
tfondos_comunes_inversion,0,0,1,0
mfondos_comunes_inversion_pesos,2192,0,22015491,0
mfondos_comunes_inversion_dolares,64,0,2247561,0
ttitulos,0,0,1,0
mtitulos,10930,0,43185853,0
tseguro_vida_mercado_abierto,0,0,1,0
tseguro_auto,0,0,1,0
tseguro_vivienda,0,0,1,0
tseguro_accidentes_personales,0,0,1,0
tcaja_seguridad,0,0,1,0
mbonos_gobierno,0,0,0,0
mmonedas_extranjeras,0,0,0,0
minversiones_otras,0,0,0,0
tplan_sueldo,0,0,1,0
mplan_sueldo,9228,0,5925377,-11040
mplan_sueldo_manual,5,0,747779,-54853
cplan_sueldo_transaccion,0,0,2,0
tcuenta_debitos_automaticos,0,0,1,0
mcuenta_debitos_automaticos,568,0,1150000,0
ttarjeta_visa_debitos_automaticos,0,1,1,0
mttarjeta_visa_debitos_automaticos,1084,327,103237,0
ttarjeta_master_debitos_automaticos,0,0,1,0
mttarjeta_master_debitos_automaticos,227,0,39586,0
tpagodeservicios,0,0,1,0
mpagodeservicios,128,0,421475,0
tpagomiscuentas,0,0,1,0
mpagomiscuentas,2044,0,3640780,0
ccajeros_propios_descuentos,0,0,0,0
mcajeros_propios_descuentos,14,0,3831,-83
ctarjeta_visa_descuentos,0,0,0,0
mtarjeta_visa_descuentos,0,0,0,0
ctarjeta_master_descuentos,0,0,0,0
mtarjeta_master_descuentos,0,0,0,0
ccuenta_descuentos,0,0,0,0
mcuenta_descuentos,0,0,0,0
ccomisiones_mantenimiento,0,1,34,0
mcomisiones_mantenimiento,149,201,1864,0
ccomisiones_otras,7,7,231,0
mcomisiones_otras,443,353,203085,-4487
tcambio_monedas,0,0,1,0
ccambio_monedas_compra,0,0,12,0
mcambio_monedas_compra,0,0,26702,0
ccambio_monedas_venta,0,0,7,0
mcambio_monedas_venta,63,0,5394,0
ctransferencias_recibidas,0,0,11,0
mtransferencias_recibidas,31,0,977500,0
ctransferencias_emitidas,0,0,236,0
mtransferencias_emitidas,1934,0,1087636,0
cextraccion_autoservicio,2,1,76,0
mextraccion_autoservicio,4080,690,282900,0
ccheques_depositados,0,0,265,0
mcheques_depositados,3920,0,8539900,0
ccheques_emitidos,0,0,258,0
mcheques_emitidos,2566,0,13806114,0
ccheques_depositados_rechazados,0,0,15,0
mcheques_depositados_rechazados,134,0,787412,0
ccheques_emitidos_rechazados,0,0,45,0
mcheques_emitidos_rechazados,109,0,2535527,0
tcallcenter,0,0,1,0
ccallcenter_transacciones,0,0,67,0
thomebanking,0,1,1,0
chomebanking_transacciones,51,32,7287,0
tautoservicio,0,0,1,0
cautoservicio_transacciones,0,0,418,0
tcajas,0,0,1,0
tcajas_consultas,0,0,0,0
tcajas_depositos,0,0,1,0
tcajas_extracciones,0,0,1,0
tcajas_otras,0,0,1,0
ccajeros_propio_transacciones,1,0,76,0
mcajeros_propio,2641,0,282900,0
ccajeros_ajenos_transacciones,1,0,48,0
mcajeros_ajenos,1441,0,85100,0
tmovimientos_ultimos90dias,0,1,1,0
Master_marca_atraso,0,0,1,0
Master_cuenta_estado,10,10,19,10
Master_mfinanciacion_limite,30311,15525,835121,0
Master_Fvencimiento,20159593,20160630,99991231,20020630
Master_Finiciomora,20140496,20140514,20140530,20140212
Master_msaldototal,3268,315,348566,-84588
Master_msaldopesos,3021,304,348566,-84588
Master_msaldodolares,247,0,162379,-24636
Master_mconsumospesos,1612,276,161341,-11492
Master_mconsumosdolares,46,0,19947,0
Master_mlimitecompra,33726,17250,667616,966
Master_madelantopesos,59,0,17250,0
Master_madelantodolares,1,0,1800,0
Master_fultimo_cierre,20140486,20140529,20140529,20070426
Master_mpagado,369,0,144008,0
Master_mpagospesos,-3365,-1564,13416,-213623
Master_mpagosdolares,40,0,15414,0
Master_fechaalta,20083243,20090211,20140529,20000608
Master_mconsumototal,1612,276,161341,-11492
Master_tconsumos,0,1,1,0
Master_tadelantosefectivo,0,0,1,0
Master_mpagominimo,747,23,348565,0
